database_type,database,dataset,action,time
CouchDB,ASOS_2022,books,insert,7.769653081893921
CouchDB,ASOS_2022,countries-small,insert,5.041459083557129
CouchDB,ASOS_2022,covers,insert,101.9377670288086
CouchDB,ASOS_2022,data,insert,1.5520169734954834
CouchDB,ASOS_2022,grades,insert,6.590811014175415
CouchDB,ASOS_2022,products,insert,0.2245476245880127
CouchDB,ASOS_2022,profiles,insert,32.7408926486969
CouchDB,ASOS_2022,restaurant,insert,55.81869029998779
CouchDB,ASOS_2022,students,insert,4.460112571716309
CouchDB,ASOS_2022,books,read,1.092195749282837
CouchDB,ASOS_2022,countries-small,read,0.6903626918792725
CouchDB,ASOS_2022,covers,read,8.577019453048706
CouchDB,ASOS_2022,data,read,0.09685635566711426
CouchDB,ASOS_2022,data,update,1.173919916152954
CouchDB,ASOS_2022,grades,read,0.465923547744751
CouchDB,ASOS_2022,products,read,0.01963019371032715
CouchDB,ASOS_2022,profiles,read,2.4796624183654785
CouchDB,ASOS_2022,restaurant,read,4.181886196136475
CouchDB,ASOS_2022,students,read,0.32291555404663086
CouchDB,ASOS_2022,books,delete,0.06526708602905273
CouchDB,ASOS_2022,countries-small,delete,0.06392478942871094
CouchDB,ASOS_2022,covers,delete,0.06141042709350586
CouchDB,ASOS_2022,data,delete,0.057615041732788086
CouchDB,ASOS_2022,grades,delete,0.08223700523376465
CouchDB,ASOS_2022,products,delete,0.0616452693939209
CouchDB,ASOS_2022,profiles,delete,0.07730913162231445
CouchDB,ASOS_2022,restaurant,delete,0.10488748550415039
CouchDB,ASOS_2022,students,delete,0.07381939888000488
CouchDB,ASOS_2022,books,insert,8.857826232910156
CouchDB,ASOS_2022,countries-small,insert,5.3324549198150635
CouchDB,ASOS_2022,covers,insert,112.04159951210022
CouchDB,ASOS_2022,data,insert,1.1666843891143799
CouchDB,ASOS_2022,grades,insert,5.599557399749756
CouchDB,ASOS_2022,products,insert,0.22400999069213867
CouchDB,ASOS_2022,profiles,insert,33.28817796707153
CouchDB,ASOS_2022,restaurant,insert,57.05002403259277
CouchDB,ASOS_2022,students,insert,4.639219522476196
CouchDB,ASOS_2022,books,read,0.9621419906616211
CouchDB,ASOS_2022,countries-small,read,0.701042890548706
CouchDB,ASOS_2022,covers,read,8.465086936950684
CouchDB,ASOS_2022,data,read,0.09849858283996582
CouchDB,ASOS_2022,data,update,1.194101333618164
