database_type,database,dataset,action,time
CouchDB,ASOS_2022,restaurant,insert,20.993216514587402
CouchDB,ASOS_2022,profiles,insert,12.492571353912354
CouchDB,ASOS_2022,data,insert,0.477311372756958
CouchDB,ASOS_2022,countries-small,insert,2.078892469406128
CouchDB,ASOS_2022,students,insert,1.8740150928497314
CouchDB,ASOS_2022,products,insert,0.1073451042175293
CouchDB,ASOS_2022,grades,insert,2.357999801635742
CouchDB,ASOS_2022,books,insert,3.2218177318573
CouchDB,ASOS_2022,covers,insert,44.319748401641846
CouchDB,ASOS_2022,books,read,1.8148810863494873
CouchDB,ASOS_2022,countries-small,read,1.1892619132995605
CouchDB,ASOS_2022,covers,read,23.72339177131653
CouchDB,ASOS_2022,data,read,0.2783806324005127
CouchDB,ASOS_2022,data,update,0.6993398666381836
CouchDB,ASOS_2022,grades,read,1.3137619495391846
CouchDB,ASOS_2022,products,read,0.08287906646728516
CouchDB,ASOS_2022,profiles,read,7.301921844482422
CouchDB,ASOS_2022,restaurant,read,11.867720127105713
CouchDB,ASOS_2022,students,read,0.9113891124725342
CouchDB,ASOS_2022,books,delete,0.04472017288208008
CouchDB,ASOS_2022,countries-small,delete,0.03752470016479492
CouchDB,ASOS_2022,covers,delete,0.030806541442871094
CouchDB,ASOS_2022,data,delete,0.027887821197509766
CouchDB,ASOS_2022,grades,delete,0.029338598251342773
CouchDB,ASOS_2022,products,delete,0.028690576553344727
CouchDB,ASOS_2022,profiles,delete,0.032501220703125
CouchDB,ASOS_2022,restaurant,delete,0.02547430992126465
CouchDB,ASOS_2022,students,delete,0.029420852661132812
MongoDB,ASOS_2022,books,delete,0.006622791290283203
MongoDB,ASOS_2022,countries-small,delete,0.0031855106353759766
MongoDB,ASOS_2022,covers,delete,0.04727673530578613
MongoDB,ASOS_2022,data,delete,0.0012900829315185547
MongoDB,ASOS_2022,grades,delete,0.003185272216796875
MongoDB,ASOS_2022,products,delete,0.000766754150390625
MongoDB,ASOS_2022,profiles,delete,0.015440940856933594
MongoDB,ASOS_2022,restaurant,delete,0.02533555030822754
MongoDB,ASOS_2022,students,delete,0.0028693675994873047
MongoDB,ASOS_2022,restaurant,insert,0.07370209693908691
MongoDB,ASOS_2022,profiles,insert,0.036993980407714844
MongoDB,ASOS_2022,data,insert,0.0014905929565429688
MongoDB,ASOS_2022,countries-small,insert,0.017880678176879883
MongoDB,ASOS_2022,students,insert,0.004593372344970703
MongoDB,ASOS_2022,products,insert,0.0008716583251953125
MongoDB,ASOS_2022,grades,insert,0.006928920745849609
MongoDB,ASOS_2022,books,insert,0.010004520416259766
MongoDB,ASOS_2022,covers,insert,0.062340497970581055
MongoDB,ASOS_2022,books,read,0.17396759986877441
MongoDB,ASOS_2022,countries-small,read,0.24836492538452148
MongoDB,ASOS_2022,covers,read,0.496929407119751
MongoDB,ASOS_2022,data,read,0.001811981201171875
MongoDB,ASOS_2022,grades,read,0.10051584243774414
MongoDB,ASOS_2022,products,read,0.0012295246124267578
MongoDB,ASOS_2022,profiles,read,0.42992663383483887
MongoDB,ASOS_2022,restaurant,read,0.6306889057159424
MongoDB,ASOS_2022,students,read,0.005657672882080078
MongoDB,ASOS_2022,data,update,0.0019118785858154297
Redis,ASOS_2022,books,delete,0.08452177047729492
Redis,ASOS_2022,countries-small,delete,0.06398391723632812
Redis,ASOS_2022,covers,delete,0.5414118766784668
Redis,ASOS_2022,data,delete,0.006794929504394531
Redis,ASOS_2022,grades,delete,0.030167341232299805
Redis,ASOS_2022,products,delete,0.0019364356994628906
Redis,ASOS_2022,profiles,delete,0.16712021827697754
Redis,ASOS_2022,restaurant,delete,0.2690303325653076
Redis,ASOS_2022,students,delete,0.02447509765625
Redis,ASOS_2022,restaurant,insert,0.4750189781188965
Redis,ASOS_2022,profiles,insert,0.29357051849365234
Redis,ASOS_2022,data,insert,0.009218215942382812
Redis,ASOS_2022,countries-small,insert,0.07159566879272461
Redis,ASOS_2022,students,insert,0.036773681640625
Redis,ASOS_2022,products,insert,0.0024640560150146484
Redis,ASOS_2022,grades,insert,0.06228518486022949
Redis,ASOS_2022,books,insert,0.11015439033508301
Redis,ASOS_2022,covers,insert,0.9008152484893799
Redis,ASOS_2022,books,read,0.5130476951599121
Redis,ASOS_2022,countries-small,read,0.39429330825805664
Redis,ASOS_2022,covers,read,1.7255821228027344
Redis,ASOS_2022,data,read,0.23012685775756836
Redis,ASOS_2022,grades,read,0.30033111572265625
Redis,ASOS_2022,products,read,0.18159222602844238
Redis,ASOS_2022,profiles,read,0.7703533172607422
Redis,ASOS_2022,restaurant,read,1.2090198993682861
Redis,ASOS_2022,students,read,0.2359025478363037
Redis,ASOS_2022,data,update,0.15755939483642578
